Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-07-11 6:00:00,9259.64,9270.97,9254.71,9254.94,30.22,279959.3,9263.8
2020-07-11 7:00:00,9260.36,9282.3,9260.03,9275.41,58.05,538240.75,9271.25
2020-07-11 8:00:00,9269.7,9273.51,9259.35,9259.35,56.4,522730.12,9267.93
2020-07-11 9:00:00,9259.35,9263.53,9180,9205.31,265.16,2442395.49,9210.86
2020-07-11 10:00:00,9205.31,9234.67,9200.69,9210.14,43.9,404672.11,9218.43
2020-07-11 11:00:00,9208.79,9225.93,9200.16,9202.69,59.07,544024.41,9210.59
2020-07-11 12:00:00,9200.16,9227.14,9196.36,9206.37,57.96,534367.5,9218.83
2020-07-11 13:00:00,9208.06,9231.13,9197.79,9221.69,86.67,798928.24,9217.7
2020-07-11 14:00:00,9222,9235.87,9206.24,9235.41,48.79,449900.55,9221.44
2020-07-11 15:00:00,9235.41,9235.41,9223.82,9225.89,20.6,190124.45,9228.76
2020-07-11 16:00:00,9230.64,9254.84,9212,9218.44,62.92,580755.33,9229.77
2020-07-11 17:00:00,9214.67,9226.13,9205.47,9220.32,66.45,612375.06,9216.14
2020-07-11 18:00:00,9217.67,9227.14,9206.46,9224.86,65.21,601262.05,9220.68
2020-07-11 19:00:00,9227.21,9228,9202.79,9202.95,24.2,223148.15,9219.11
2020-07-11 20:00:00,9208.32,9218.58,9201.17,9218.58,30.69,282645.57,9210.41
2020-07-11 21:00:00,9219.03,9225.68,9204.65,9221.81,99.41,915849.72,9213.16
2020-07-11 22:00:00,9222.02,9236.9,9209.42,9218,58.32,538003.11,9224.93
2020-07-11 23:00:00,9218,9251.67,9217.29,9238.3,30.23,279191.09,9236.51
2020-07-12 0:00:00,9234.07,9266.45,9234.07,9252.43,56.15,519659.56,9254.27
2020-07-12 1:00:00,9253.76,9293.28,9243.91,9268.9,81.14,752552.01,9274.85
2020-07-12 2:00:00,9277.08,9280.64,9260.86,9268.31,27.07,250988.57,9273.01
2020-07-12 3:00:00,9272.49,9290.7,9271,9271.68,97.56,905635.29,9282.63
2020-07-12 4:00:00,9275.36,9292,9262.02,9267.96,71.09,659672.7,9278.87
2020-07-12 5:00:00,9271.38,9281.4,9260.41,9267.48,90.75,841432.9,9271.64
2020-07-12 6:00:00,9269.41,9272.79,9253.82,9258.34,25.7,238075.91,9264.81
2020-07-12 7:00:00,9258.41,9267.75,9243.78,9252.8,56.76,525555.4,9258.5
2020-07-12 8:00:00,9257.29,9275,9250.86,9252.83,22.9,212185.78,9266.35
2020-07-12 9:00:00,9253.26,9267.35,9240,9266.92,76.01,703321.26,9253.27
2020-07-12 10:00:00,9261.08,9269.91,9257.18,9261.21,37.11,343792.29,9264.99
2020-07-12 11:00:00,9262.24,9263.99,9242.44,9245.44,30.36,280966.94,9255.51
2020-07-12 12:00:00,9246.48,9273.89,9245,9267.66,43.72,404898.3,9260.88
2020-07-12 13:00:00,9266.78,9347.76,9185.36,9218.22,593.61,5495815.27,9258.27
2020-07-12 14:00:00,9211.28,9231.59,9200.34,9220.06,75.28,693943.2,9218.43
2020-07-12 15:00:00,9217.85,9229.47,9208,9213.32,55.4,510574.28,9216.61
2020-07-12 16:00:00,9215.17,9228.12,9208.41,9212.87,19.82,182763.98,9219.31
2020-07-12 17:00:00,9215.18,9223.14,9205.16,9214.88,20.06,184796.63,9213.22
2020-07-12 18:00:00,9214.89,9225.5,9209.37,9221.61,104.98,967899.74,9219.78
2020-07-12 19:00:00,9217,9236.44,9153.48,9221.81,129.89,1193739.06,9190.65
2020-07-12 20:00:00,9219.65,9234.26,9213.92,9232.36,14.11,130107.99,9222.9
2020-07-12 21:00:00,9232.36,9279.85,9219.41,9270.25,114.35,1058476.65,9256.47
2020-07-12 22:00:00,9269.03,9339.4,9269.03,9295.51,151.37,1408793.13,9306.97
2020-07-12 23:00:00,9296.1,9306.17,9273.7,9306.17,41.97,389685.89,9284.79
2020-07-13 0:00:00,9304.94,9323,9264.35,9276.63,66.22,615293.58,9291.43
2020-07-13 1:00:00,9276.52,9305.09,9273.06,9282.9,114.14,1060227.74,9288.65
2020-07-13 2:00:00,9282.99,9290.94,9270.51,9279.17,30.46,282618.67,9279.36
2020-07-13 3:00:00,9281.98,9288.37,9268.04,9269.41,35.43,328795.48,9280.58
2020-07-13 4:00:00,9274.05,9281.98,9262.46,9268.41,48.99,454140.85,9270.88
2020-07-13 5:00:00,9271.98,9284.61,9268.04,9279.67,54.66,507170.92,9279.11
2020-07-13 6:00:00,9280.69,9293.54,9243.76,9261.9,169.45,1569904.64,9264.86
2020-07-13 7:00:00,9261.85,9277.55,9257.46,9265.04,211.62,1960908.96,9266.07
2020-07-13 8:00:00,9265.21,9288.82,9265.21,9278.5,118.48,1099316.99,9278.21
2020-07-13 9:00:00,9282.41,9290,9272.1,9283.03,87.49,812023.54,9281.29
2020-07-13 10:00:00,9282.92,9309.79,9265.22,9282.67,84.29,782466.63,9282.98
2020-07-13 11:00:00,9284.13,9316.11,9284.13,9307.03,108.94,1012990.34,9298.78
2020-07-13 12:00:00,9302.38,9351.17,9276.19,9316.63,280.81,2615319.57,9313.64
2020-07-13 13:00:00,9318.7,9331,9288.22,9315.93,191.76,1785484.54,9311.22
2020-07-13 14:00:00,9322.04,9332.9,9300.11,9302.37,317.15,2955276.58,9318.12
2020-07-13 15:00:00,9300,9318.18,9281.68,9291.69,345.21,3212812.92,9306.9
2020-07-13 16:00:00,9292.64,9305.49,9287.44,9304.87,167.13,1553987.75,9298.06
2020-07-13 17:00:00,9308.06,9325.32,9302.86,9315,238.56,2222141.2,9314.95
2020-07-13 18:00:00,9315,9315,9266.1,9285.4,200.82,1865141.04,9287.61
2020-07-13 19:00:00,9287.98,9290.56,9190.49,9231.92,485.31,4476858.44,9224.68
2020-07-13 20:00:00,9227.09,9262,9211.27,9245.12,234.79,2169100.15,9238.37
2020-07-13 21:00:00,9245.4,9266.15,9231.36,9249.14,81.64,754802.57,9245.59
2020-07-13 22:00:00,9247.37,9247.37,9210.61,9238.4,153.32,1415453.8,9231.73
2020-07-13 23:00:00,9232.81,9247.37,9219.72,9233.1,48.51,448033.85,9236.06
2020-07-14 0:00:00,9234.19,9240.04,9211.62,9216,97.94,903245.83,9222.77
2020-07-14 1:00:00,9217,9242.75,9202.6,9231.63,81.46,751489.28,9225.77
2020-07-14 2:00:00,9231.74,9241.76,9216.25,9221.36,122.92,1134254.53,9227.75
2020-07-14 3:00:00,9217.23,9229.26,9210.86,9214.28,158.87,1464523.28,9218.51
2020-07-14 4:00:00,9210.71,9211.62,9142.12,9182.43,463.91,4254345,9170.57
2020-07-14 5:00:00,9184.99,9193.86,9170.62,9179.33,115.44,1059937.35,9182.02
2020-07-14 6:00:00,9179.75,9199.51,9177.76,9189.37,92.26,848079.88,9192.68
2020-07-14 7:00:00,9187.37,9193.41,9175.61,9177.86,99.48,913606.36,9183.95
2020-07-14 8:00:00,9182.64,9208.63,9175.42,9192.8,106.76,981844.57,9197.06
2020-07-14 9:00:00,9192.8,9202.6,9188,9193.65,191.72,1762403.59,9192.83
2020-07-14 10:00:00,9197.93,9197.93,9167.76,9184.83,178.01,1634195.63,9180.13
2020-07-14 11:00:00,9180.28,9233,9095,9225.23,586.13,5376730.72,9173.3
2020-07-14 12:00:00,9230.5,9242.17,9200.4,9205,207.2,1909263.61,9214.69
2020-07-14 13:00:00,9205.1,9223.55,9190,9204.81,284.89,2623453.67,9208.67
2020-07-14 14:00:00,9199.63,9221.58,9183,9209.22,158.09,1455102.11,9204.03
2020-07-14 15:00:00,9216.96,9239.67,9206.07,9222.71,105.36,972053.66,9226.34
2020-07-14 16:00:00,9227.07,9237.22,9205.65,9227.51,175.6,1620130.02,9226.18
